Pairs of publishing authors and their number of publications: 
KL Kumar, M Bhattacharya 1
LM Haverhals, SE Ross 1
M Ishimitsu, R Anderson 1
SA Linnebur, JM Ruscin 1
R Chaudhri, K Israel-Ballard 1
L Schlenke, R Nathan 1
AK Sin, HB Zaman 1
J Luginbuhl, R Flournoy 1
G Konnis, R Tranfaglia 1
J Liu, A Boden 1
L Misoi, C Hutchinson 1
WD Tucker, MB Parker 1
C Catalani, E Green 1
A Tibuzzi, X Hua 1
HG van der Roest, C Jonker 1
J Keh, L Schlenke 1
N Tuikong, S Kimaiyo 1
P Chininthorn, WD Tucker 1
C Jacks, K Phyrum 1
PRS Rao, J Huang 1
J Luginbuhl, C Malin 1
K Asano, K Yamazaki 1
P Cole, G Ho 1
S Kimaiyo, R Vedanthan 1
V Fuster, M Were 1
ML Gilliam, SL Martins 1
CA Lee, JM Ruscin 1
R Tranfaglia, L Pecchia 1
M Hicks, G Borriello 1
P Reimers, N Perin 1
A Zewge, A Susi 1
D Vlachos, N Perin 1
K Perakis, R Tranfaglia 1
R Walton, B DeRenzi 1
A Kavanaugh, D Tatar 1
R Tranfaglia, U Bracale 1
CR Horowitz, EJ Velazquez 1
E Rose, R Walton 1
W Gerard, P Prasad 1
R Vedanthan, D Ascheim 1
A Bayor, B Kolko 1
HG van der Roest, RM Droes 1
A Dekhtyar, B Goldstein 1
HG van der Roest, APD Jansen 1
W Gerard, G Borriello 1
K Perakis, G Konnis 1
K Perakis, A Androulidakis 1
M Hicks, G Ruddy 1
LC De Castro Salgado, CS De Souza 1
HG van der Roest, FJM Meiland 1
K Perakis, H Papadopoulos 1
MG Sandy, S Opel 1
A Boden, V Wulf 1
L Pecchia, D Koutsouris 1
S Kim, J Lee 1
L Misoi, R Vedanthan 1
HC Comijs, C Jonker 1
J Kamano, M Were 1
ML Gilliam, SQ Mistretta 1
APD Jansen, RM Droes 1
BP Shrimali, J Luginbuhl 1
FJM Meiland, HC Comijs 1
HPJ van Hout, C Jonker 1
K Israel-Ballard, P Reimers 1
MB Motlhabi, MB Parker 1
A Androulidakis, G Konnis 1
S Fox, C Le Dantec 1
C Catalani, D Israelski 1
N Tuikong, M Were 1
P Owiti, D Israelski 1
T Mullaney, E Stolterman 1
C Hutchinson, S Kimaiyo 1
R Hinman, J Matovu 1
M Glaser, WD Tucker 1
ML Gilliam, E Bartlett 1
R Flournoy, A Siegel 1
G Konnis, C Pattichis 1
W Gerard, M Ishimitsu 1
E Green, P Biondich 1
CA Darr, JM Ruscin 1
G Borriello, N Perin 1
JS Sandhu, P Altankhuyag 1
K Weldemariam, A Susi 1
PA Biedrzycki, S Opel 1
P Prasad, B Kolko 1
A Zewge, S Hailemariam 1
R Chhatpar, R Fabricant 1
CA Lee, SA Linnebur 1
K Weldemariam, S Hailemariam 1
ML Best, D Thakur 1
C Hutchinson, M Were 1
M de Araujo Novaes, J Machiavelli 2
R Vogler, CE Hsu 2
W Gerard, A Hope 2
R Anderson, R Nathan 2
A Joshi, M de Araujo Novaes 2
J Kamano, V Fuster 2
A Joshi, CE Hsu 2
M de Araujo Novaes, CE Hsu 2
E Rose, B Kolko 2
S Iyengar, R Vogler 2
A Joshi, J Machiavelli 2
C Johnson, J Zhang 2
I Hussein, M Mahmud 2
C Putnam, E Rose 2
W Brunette, M Kawooya 2
R Vogler, J Zhang 2
S Iyengar, C Johnson 2
M de Araujo Novaes, J Zhang 2
W Brunette, M Hicks 2
J Machiavelli, J Zhang 2
W Brunette, R Anderson 2
B Kolko, C Putnam 2
M Hicks, B Kolko 2
M de Araujo Novaes, C Johnson 2
B Kolko, R Nathan 2
S Iyengar, CE Hsu 2
M Hicks, A Hope 2
A Joshi, S Iyengar 2
J Kamano, S Kimaiyo 2
W Gerard, B Kolko 2
A Hope, B Kolko 2
A Joshi, C Johnson 2
S Kimaiyo, V Fuster 2
A Hope, R Nathan 2
J Yaaqoubi, B Kolko 2
J Machiavelli, S Iyengar 2
W Brunette, R Nathan 2
R Vogler, C Johnson 2
C Johnson, CE Hsu 2
B Kolko, A Hope 2
J Machiavelli, C Johnson 2
M de Araujo Novaes, R Vogler 2
A Joshi, R Vogler 2
W Gerard, R Nathan 2
J Machiavelli, CE Hsu 2
A Hope, R Anderson 2
B Kolko, M Kawooya 2
A Hope, M Kawooya 2
M Hicks, R Anderson 2
M de Araujo Novaes, S Iyengar 2
A Joshi, J Zhang 2
J Zhang, CE Hsu 2
J Machiavelli, R Vogler 2
S Iyengar, J Zhang 2
W Gerard, M Kawooya 2
B Aryana, C Boks 2
W Brunette, B Kolko 3
R Anderson, B Kolko 3
W Brunette, W Gerard 3
W Brunette, A Hope 3
R Walton, B Kolko 3
